Original,Normalized
sakkath,sakkath
sakkathh,sakkath
samsng,samsung
sandeepanna,sandeepanna
sanna,sanna
sarii,sari
sariyagi,sariyagi
shivamogga,shivamogga
sigutte,sigutte
sirr,sir
sirrr,sir
sirrrr,sir
smooooootttthhhh,smooth
smoothh,smooth
smootthh,smooth
soo,so
sulla,sulla
sullu,sullu
sundraaa,sundraa
superagide,superagide
superb,super
superr,super
superrr,super
supperr,super
suuuuper,super
swalpa,swalpa
swalppa,swalpa
swalppaa,swalpa
swlpa,swalpa
tago,tago
tagobahuda,tagobahuda
tagoboda,tagoboda
tagol,tagol
tagolodu,tagolodu
tagolona,tagolona
tagond,tagond
tagonde,tagonde
tagondre,tagondre
tagondru,tagondru
tagondu,tagondu
tagotare,tagotare
tagotini,tagotini
thagobedi,tagobedi
thagobeku,tagobeku
thagoboda,tagoboda
thagoli,tagoli
thagoltini,thagltini
thagonde,tagonde
thagondre,tagondre
thagondu,tagondu
thumba,tumba
thumbaa,tumba
thumuba,tumba
togobeku,tagobeku
tooo,too
tumbaa,tumba
tumbaaa,tumba
u,you
ur,your
usefull,useful
uselesss,useless
veryyy,very
wasteee,waste
worsst,worst
worsttt,worst
yaadru,yaadru
yaake,yake
yaava,yaava
yaavaadru,yaavaadru
yaavaglu,yaavaglu
yaavdu,yaavdu
yaavudu,yaavudu
yaavuduu,yaavudu
yakee,yake
yakeee,yake
yalla,ella
yalli,yalli
yappa,yappa
yaradru,yaradru
yastuuu,yastuu
yava,yaava
yavdadru,yavdadru
yavudadru,yavudadru
yela,ella
yella,ella
yelli,yelli
yenadru,yenadru
yenappa,yenappa
yenidru,yenadru
yenuu,yenu
yenuuu,yenu
yrr,yaar
